GEOID,tract_name,population
17141961500,Census Tract 9615,4310
17141961100,Census Tract 9611,3791
17089852403,Census Tract 8524.03,5111
17141960800,Census Tract 9608,3412
17141961600,Census Tract 9616,3295
17031150600,Census Tract 1506,3882
17031150700,Census Tract 1507,4429
17031150800,Census Tract 1508,4903
17031826000,Census Tract 8260,2660
17043841504,Census Tract 8415.04,2970
17043841607,Census Tract 8416.07,4884
17031251200,Census Tract 2512,3910
17031251300,Census Tract 2513,5098
17089850202,Census Tract 8502.02,6823
17089850201,Census Tract 8502.01,4156
17089853004,Census Tract 8530.04,3228
17197883216,Census Tract 8832.16,3249
17197883517,Census Tract 8835.17,3266
17197880602,Census Tract 8806.02,3389
17197881009,Census Tract 8810.09,7972
17043845902,Census Tract 8459.02,3489
17043845402,Census Tract 8454.02,3060
17043841313,Census Tract 8413.13,2872
17043841325,Census Tract 8413.25,5535
17083010402,Census Tract 104.02,1877
17083010401,Census Tract 104.01,6098
17031804609,Census Tract 8046.09,6147
17031804608,Census Tract 8046.08,4027
17031839100,Census Tract 8391,8234
17031833100,Census Tract 8331,9493
17137951400,Census Tract 9514,2400
17137951700,Census Tract 9517,2888
17137952200,Census Tract 9522,2980
17137951500,Census Tract 9515,2894
17199020100,Census Tract 201,3483
17199020300,Census Tract 203,5067
17199020600,Census Tract 206,3798
17043846408,Census Tract 8464.08,4291
17089851102,Census Tract 8511.02,3710
17089852807,Census Tract 8528.07,3897
17089852806,Census Tract 8528.06,6814
17043846412,Census Tract 8464.12,4726
17043846410,Census Tract 8464.10,5071
17113005800,Census Tract 58,4210
17199020900,Census Tract 209,4704
17199021200,Census Tract 212,4404
17163504352,Census Tract 5043.52,4203
17053962000,Census Tract 9620,3571
17071973300,Census Tract 9733,1999
17071973400,Census Tract 9734,1701
17071973500,Census Tract 9735,2687
17143003104,Census Tract 31.04,3467
17031804202,Census Tract 8042.02,7793
17031804701,Census Tract 8047.01,7045
17031803605,Census Tract 8036.05,7002
17031130200,Census Tract 1302,1403
17031062500,Census Tract 625,1675
17043844309,Census Tract 8443.09,2390
17031062600,Census Tract 626,2477
17031062700,Census Tract 627,2955
17031062800,Census Tract 628,3851
17031062900,Census Tract 629,4125
17031063000,Census Tract 630,3417
17031062400,Census Tract 624,1673
17031063100,Census Tract 631,2376
17031063200,Census Tract 632,6900
17031063400,Census Tract 634,2417
17031090300,Census Tract 903,1314
17035972400,Census Tract 9724,2913
17019005901,Census Tract 59.01,2722
17043840304,Census Tract 8403.04,3627
17043841308,Census Tract 8413.08,4028
17059972800,Census Tract 9728,2642
17197883304,Census Tract 8833.04,1721
17099961701,Census Tract 9617.01,6351
17043846312,Census Tract 8463.12,4506
17031070102,Census Tract 701.02,3063
17111870703,Census Tract 8707.03,5350
17111871301,Census Tract 8713.01,4831
17111870810,Census Tract 8708.10,4406
17111870702,Census Tract 8707.02,7588
17111870604,Census Tract 8706.04,6113
17111870200,Census Tract 8702,5959
17111871305,Census Tract 8713.05,6502
17097860200,Census Tract 8602,3492
17043842702,Census Tract 8427.02,4479
17043840901,Census Tract 8409.01,3833
17043846404,Census Tract 8464.04,6135
17031819200,Census Tract 8192,6154
17091012300,Census Tract 123,4080
